"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-04","15.66",,"0.01","0.0","0.0","63","71","49","  310","  310","36.0","42.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-05","12.53",,"0.00","0.0","0.0","53","63","47","  310","  290","25.1","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-06","8.72",,"0.02","0.0","0.0","49","55","44","  100","   90","21.0","27.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-07","12.75",,"0.00","0.0","0.0","53","66","44","  190","  240","25.1","33.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-08","10.51",,"0.32","0.0","0.0","53","59","39","  320","  320","32.0","40.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-09","22.15",,"0.03","0.0","0.0","42","49","34","  310","  310","35.1","44.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-10","18.79",,"0.00","0.0","0.0","49","64","39","  230","  270","28.0","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-11","12.97",,"0.03","0.0","0.0","52","61","45","  270","  260","36.0","53.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-12","17.67",,"0.00","0.0","0.0","51","61","43","  310","  290","30.0","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-13","10.51",,"0.00","0.0","0.0","51","62","41","  190","  180","23.9","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-14","9.62",,"0.00","0.0","0.0","52","61","40","  190","  190","23.9","29.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-15","10.29",,"0.03","0.0","0.0","63","78","55","  190","  190","21.9","25.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-16","11.41",,"0.02","0.0","0.0","68","76","55","  340","  320","21.9","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-17","8.95",,"0.00","0.0","0.0","58","64","52","  150","  130","15.0","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-18","10.51",,"0.00","0.0","0.0","59","69","53","  120","  120","21.9","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-19","17.45",,"0.00","0.0","0.0","60","70","50","  100","   50","29.1","36.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-20","13.42",,"0.00","0.0","0.0","55","63","45","  110","  100","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-21","6.93",,"0.00","0.0","0.0","53","61","42","  150","  150","13.0","17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-22","5.59",,"0.01","0.0","0.0","60","73","52","  170","  160","16.1","21.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-23","7.83",,"0.52","0.0","0.0","62","70","54","   40","   60","23.0","30.0","    1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-24","11.18",,"0.00","0.0","0.0","57","65","51","   40","   30","21.9","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-25","5.82",,"0.00","0.0","0.0","60","66","49","  180","   30","12.1","14.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-26","5.14",,"0.00","0.0","0.0","61","69","57","  140","  170","12.1","16.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-27","5.59",,"0.00","0.0","0.0","62","72","57","  140","  150","14.1","17.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-28","10.74",,"0.01","0.0","0.0","64","73","60","  170","  180","21.9","25.9","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-29","14.99",,"0.00","0.0","0.0","66","73","61","  180","  190","29.1","35.1","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-30","11.18",,"0.00","0.0","0.0","69","83","61","  330","  330","25.1","31.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-31","16.11",,"0.00","0.0","0.0","66","73","56","  320","  320","28.0","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-01","9.62",,"0.00","0.0","0.0","60","72","51","  190","  280","21.9","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-02","10.29",,"0.00","0.0","0.0","64","75","54","  230","  230","18.1","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-03","10.74",,"0.55","0.0","0.0","69","80","60","  270","  270","21.9","29.1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-04","10.51",,"0.10","0.0","0.0","72","83","63","  190","  190","21.0","28.0","    1",,"    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-05","8.28",,"0.79","0.0","0.0","70","78","64","  250","  240","19.9","25.1","    1",,"    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-06","10.51",,"0.16","0.0","0.0","72","86","63","  320","  190","25.9","42.9","    1","    1","    1",,,,"    1",
